dialect,standard,naive_response,BLEU_score,ori_sim,new_sim,relative_sim,dialect_correction,standard_preserve,new_response
BLEU
알암수과몰람수과?,알겠습니까모르겠습니까?,알아요? 몰라요?,0.0,0.385,0.567,1.473,0.0,1.0,알겠습니까모르겠습니까?,1.0,0.385,1.0,2.597,2.0,1.0
맛인.,맛있어.,맛있다.,0.0,0.649,0.963,1.484,0.0,0.0,맛있어.,1.0,0.649,1.0,1.541,1.0,0.0
그게 아니고 무좀 무좀이랜 하는디 어제 발톱이 떼져부렀거든?,그게 아니고 무좀 무좀이라고 하는데 어제 발톱이 떼져버렸거든?,"그게 아니라 무찌름이라는데, 어제 발톱이 떨어졌어요.",0.077,0.982,0.783,0.797,0.0,0.545,그게 아니고 무좀 무좀이라고 하는데 어제 발톱이 떨어져버렸거든?,0.841,0.982,0.995,1.013,0.667,0.769
명질에 다 같이 모여그네 이렇게,명절에 다 같이 모여서 이렇게,모두 명지에 모여봅시다.,0.0,0.582,0.479,0.823,0.0,0.333,명절에 다 같이 모여서 이렇게,1.0,0.582,1.0,1.718,1.0,0.75
어서?,없어?,어서 뭐야?,0.0,0.467,0.402,0.861,0.0,0.0,없어?,1.0,0.467,1.0,2.141,1.0,0.0
맞아 겅해 나도 겅해 나도 나도,맞아 그래 나도 그래 나도 나도,그래 맞아 고마워 나도 고마워 나도,0.053,0.925,0.596,0.644,1.0,0.8,맞아 그래 나도 그래 나도,0.819,0.925,0.984,1.064,1.0,0.889
이쁜디게,이쁜데,예쁘게,0.0,0.894,0.768,0.859,0.0,0.0,알겠습니까모르겠습니까?,1.0,0.385,1.0,2.597,2.0,1.0
이제 커노니깐 클 때 까지 그 집을 해노난 엉망징창이 된거야,이제 크니깐 클 때 까지 그 집을 하니까 엉망징창이 된거야,이젠 커서니깐 큰 때까지 그 집을 정리해야겠다. 엉망진창이 된 것 같아.,0.052,0.862,0.871,1.01,0.0,0.421,맛있어.,1.0,0.649,1.0,1.541,1.0,0.0
sim
못 키우쿠과?,못 키우겠습니까?,뭐라고 하는 거죠? 이해가 안 가네요.,0.0,0.674,0.138,0.205,0.0,0.0,키우지 못하나요?,0.0,0.674,0.949,1.408,0.0,0.667
그게 별로 그렇게 아들딸 구별 별로 어서났거든 우리는,그게 별로 그렇게 아들딸 구별 별로 없었거든 우리는,그것은 별로 구별이 어렵지 않다는 것이죠. 지금은 그 시대가 뒤로 묻혀 갔으니까요.,0.02,0.805,0.402,0.499,0.0,0.316,그게 별로 그렇게 아들딸 구별이 별로 없었거든 우리는,0.5,0.805,0.995,1.236,1.0,0.933
어 허지 경허난에,어 하지 그러니까,"어, 어디에 가셨나요?",0.0,0.29,0.225,0.776,0.0,0.5,"아, 그런 거였군요.",0.0,0.29,0.663,2.286,0.0,0.0
가믄 막 간섭하네,가면 막 간섭하잖아,너무 간섭하지 마세요.,0.0,0.556,0.222,0.399,0.0,0.0,가면 막 간섭해요,0.212,0.556,0.963,1.732,0.5,0.5
처음엔 허기 싫엉 강 허난,처음엔 하기 싫어서 가서 하니까,처음에는 배고팠는데 강에서 끓인 물을 마셨어요.,0.0,0.445,0.163,0.366,0.0,0.286,처음에는 배가 고파서 싫었었는데,0.0,0.445,0.606,1.362,0.0,0.0
corr
육십 삼이 나온 거라,육십 삼이 나온 거야,육십 삼살이 되었다.,0.052,0.986,0.879,0.891,0.0,0.333,육십 삼이 나온 거야.,0.431,0.986,0.996,1.01,1.0,0.75
알암수과몰람수과?,알겠습니까모르겠습니까?,알아요? 몰라요?,0.0,0.385,0.567,1.473,0.0,1.0,알겠습니까모르겠습니까?,1.0,0.385,1.0,2.597,2.0,1.0
내가 말했잖수.,내가 말했잖아.,내가 말했잖아요.,0.068,0.968,0.99,1.023,0.0,0.667,내가 말했잖아.,0.221,0.968,1.0,1.033,1.0,0.667
맛인.,맛있어.,맛있다.,0.0,0.649,0.963,1.484,0.0,0.0,맛있어.,1.0,0.649,1.0,1.541,1.0,0.0
아까 말 했잖수.,아까 말 했잖아.,방금 말했잖아요.,0.0,0.938,0.935,0.997,0.0,0.5,아까 말했잖아.,0.041,0.938,0.95,1.013,1.0,0.8
혹시 제 제주도와 관련된 영화를 본 적이 이서?,혹시 제 제주도와 관련된 영화를 본 적이 있어?,제주도와 관련된 영화를 본 적이 있나요?,0.544,0.985,0.982,0.997,0.0,0.923,혹시 제주도와 관련된 영화를 본 적 있어?,0.394,0.985,0.987,1.002,1.0,0.857
아니 엄마꺼 뜬거.,아니 엄마꺼 뜬거야.,"아니요, 엄마가 삶은 것입니다.",0.0,0.98,0.681,0.695,0.0,0.333,"아니, 엄마꺼 뜬거야.",0.212,0.98,0.992,1.012,1.0,0.8
겁나 발발거리는 거.,겁나 발발거리는 거야.,너무 불안한 것 같아요.,0.0,0.98,0.766,0.782,0.0,0.0,겁나 발뺌거리는 거야.,0.086,0.98,0.854,0.871,1.0,0.4
그게 아니고 무좀 무좀이랜 하는디 어제 발톱이 떼져부렀거든?,그게 아니고 무좀 무좀이라고 하는데 어제 발톱이 떼져버렸거든?,"그게 아니라 무찌름이라는데, 어제 발톱이 떨어졌어요.",0.077,0.982,0.783,0.797,0.0,0.545,그게 아니고 무좀 무좀이라고 하는데 어제 발톱이 떨어져버렸거든?,0.841,0.982,0.995,1.013,0.667,0.769
하면서 막 경하니까 어떻게 먹고 살 거냐고 해가면서 막,하면서 막 그렇게하니까 어떻게 먹고 살 거냐고 해가면서 막,하면서 멋대로 얕보면서 어떻게 살아낼 거냐고 말하면서 막.,0.033,0.903,0.604,0.669,0.0,0.706,하면서 막 그러니까 그렇게 하면 애들을 어떻게 먹고 살릴 거냐고 물어보면서 막,0.075,0.903,0.751,0.832,1.0,0.667
명질에 다 같이 모여그네 이렇게,명절에 다 같이 모여서 이렇게,모두 명지에 모여봅시다.,0.0,0.582,0.479,0.823,0.0,0.333,명절에 다 같이 모여서 이렇게,1.0,0.582,1.0,1.718,1.0,0.75
그게 별로 그렇게 아들딸 구별 별로 어서났거든 우리는,그게 별로 그렇게 아들딸 구별 별로 없었거든 우리는,그것은 별로 구별이 어렵지 않다는 것이죠. 지금은 그 시대가 뒤로 묻혀 갔으니까요.,0.02,0.805,0.402,0.499,0.0,0.316,그게 별로 그렇게 아들딸 구별이 별로 없었거든 우리는,0.5,0.805,0.995,1.236,1.0,0.933
어서?,없어?,어서 뭐야?,0.0,0.467,0.402,0.861,0.0,0.0,없어?,1.0,0.467,1.0,2.141,1.0,0.0
멍석깔아놓고 넉둥베기 할때 그렇게 작 작은거해,멍석깔아놓고 윷놀이 할때 그렇게 작 작은거해,돌을 쌓아놓고 높이 뛰어내리기 할 때 그렇게 작 작은 걸 해.,0.052,0.927,0.643,0.694,0.0,0.25,멍석 깔아놓고 윷놀이 할 때 그렇게 작 작은 거 해요.,0.063,0.927,0.973,1.05,1.0,0.267
특히 사업하는 사람인디,특히 사업하는 사람인데,특히 사업을 하는 사람들이죠.,0.061,0.983,0.842,0.857,0.0,0.333,특히 사업하는 사람인데,0.576,0.983,1.0,1.017,1.0,0.8
아차 아차 저걸 갔다 그디 지하에 담아야겠다 생각해가지고,아차 아차 저걸 갔다 거기 지하에 담아야겠다 생각해가지고,"아차 아차, 그걸 가져가서 지하에 담아야겠다 생각하고 있었어.",0.079,0.98,0.946,0.965,0.0,0.533,아차 아차 그걸 갖다가 거기 지하에 담아야겠다 생각하다가,0.208,0.98,0.971,0.991,1.0,0.533
아이 그거 시어멍 아니,아이 그거 시엄마 아니,저거 시어머니 아니에요.,0.0,0.722,0.728,1.008,0.0,0.333,아이 그거 시엄마 아니야,0.431,0.722,0.955,1.323,1.0,0.857
이쁜디게,이쁜데,예쁘게,0.0,0.894,0.768,0.859,0.0,0.0,알겠습니까모르겠습니까?,1.0,0.385,1.0,2.597,2.0,1.0
경했댄 하는 거라 게난 자기는 무슨 소방 점검 와신디 그것도 나중에사 핸 알았지,그랬다고 하는 거야 그니까 자기는 무슨 소방 점검 왔는데 그것도 나중에야 해서 알았지,경찰서에서 하는 일이라고 생각했는데 나는 무슨 소방 점검인줄 알았다. 나중에야 알게 되었다.,0.052,0.909,0.81,0.891,0.167,0.421,그냥 좋아요.,0.221,0.873,1.0,1.145,1.0,0.667
써 붙이지 않애신가?,써 붙이지 않았나?,써 붙이지 않으시겠습니까?,0.212,0.948,0.853,0.9,0.0,0.8,내가 말했잖아.,0.221,0.968,1.0,1.033,1.0,0.667
이제 커노니깐 클 때 까지 그 집을 해노난 엉망징창이 된거야,이제 크니깐 클 때 까지 그 집을 하니까 엉망징창이 된거야,이젠 커서니깐 큰 때까지 그 집을 정리해야겠다. 엉망진창이 된 것 같아.,0.052,0.862,0.871,1.01,0.0,0.421,맛있어.,1.0,0.649,1.0,1.541,1.0,0.0
예쁘게 하잰 돈을 많이 들어질건디 그게 아니고,예쁘게 하려고 돈을 많이 들건데 그게 아니고,예쁘게 하기 위해 많은 돈이 들어갈 것 같지만 그렇지 않아요.,0.023,0.918,0.93,1.013,0.0,0.133,아까 말했잖아.,0.041,0.938,0.95,1.013,1.0,0.8
pres
너 머리 너 머리에 젖은거 같은데 너 머리에 젖언 만져봐 머리,너 머리 너 머리에 젖은거 같은데 너 머리에 젖었어 만져봐 머리,"당신 머리에 뭔가 젖은 것 같은데, 손으로 만져봐요.",0.02,0.995,0.917,0.922,0.0,0.667,너 머리에 젖은거 같은데 만져봐.,0.201,0.995,0.95,0.955,0.0,1.333
못 키우쿠과?,못 키우겠습니까?,뭐라고 하는 거죠? 이해가 안 가네요.,0.0,0.674,0.138,0.205,0.0,0.0,키우지 못하나요?,0.0,0.674,0.949,1.408,0.0,0.667
그게 별로 그렇게 아들딸 구별 별로 어서났거든 우리는,그게 별로 그렇게 아들딸 구별 별로 없었거든 우리는,그것은 별로 구별이 어렵지 않다는 것이죠. 지금은 그 시대가 뒤로 묻혀 갔으니까요.,0.02,0.805,0.402,0.499,0.0,0.316,그게 별로 그렇게 아들딸 구별이 별로 없었거든 우리는,0.5,0.805,0.995,1.236,1.0,0.933
밭으로 이제 저 이전 동안을 해부난 이제 미깡은 이제 가 밭으로 안 가부난에,밭으로 이제 저 이전 동안을 하니까 이제 귤은 이제 가 밭으로 안 가서,지금 밭을 가야 해요. 지난 동안 바빴으니 이젠 가야죠.,0.0,0.665,0.49,0.737,0.0,0.211,밭으로 이전 동안을 했는데 미깡은 이제 가지 않을 거야,0.048,0.665,0.67,1.008,0.0,1.053
나가 이 나가 니 집에 들어보믄 알지마는 나 한 번 들어보잰 그거 하더라고,내가 이 내가 니 집에 들어보면 알지마는 나 한 번 들어보려고 그거 하더라고,외곽 지역에서 사용되는 방언입니다. 번역할 수 없습니다.,0.0,0.82,0.131,0.16,0.0,0.25,나가 이 나가니까 집에 들어보면 알지 못하겠지만 나 한번 들어봤어 그거 하더라고,0.069,0.82,0.776,0.946,0.25,0.952
방언 이거 데이터 하는 거 나가 정보를 가져오니까,방언 이거 데이터 하는 거 내가 정보를 가져오니까,"방언은 지역마다 사용되는 언어의 변형이며, 데이터를 수집하여 정보를 가져오는 것이 쉽지 않을 수 있습니다.",0.018,0.968,0.673,0.695,0.0,0.286,방언이거 데이터 하는 거라서 정보를 가져오니까,0.098,0.968,0.944,0.975,0.0,1.077
이쁜디게,이쁜데,예쁘게,0.0,0.894,0.768,0.859,0.0,0.0,알겠습니까모르겠습니까?,1.0,0.385,1.0,2.597,2.0,1.0
예쁘게 하잰 돈을 많이 들어질건디 그게 아니고,예쁘게 하려고 돈을 많이 들건데 그게 아니고,예쁘게 하기 위해 많은 돈이 들어갈 것 같지만 그렇지 않아요.,0.023,0.918,0.93,1.013,0.0,0.133,아까 말했잖아.,0.041,0.938,0.95,1.013,1.0,0.8
BAD
말해서.,말했어.,말씀해주세요.,0.0,0.728,0.636,0.874,0.0,0.0,말하고 말라고 말했죠.,0.0,0.728,0.617,0.848,0.0,0.0
아 겅하니까이 예초 할땐 조심해야 돼,아 그러니까 예초 할땐 조심해야 돼,"아 겁하니까, 예초를 할 때는 조심해야 해요.",0.038,0.981,0.848,0.864,0.0,0.5,아 그렇게 하니까 이럴 때는 조심해야 돼,0.091,0.981,0.782,0.797,0.0,0.5
이번년도가 진짜 잘도 빨리 끝난,이번년도가 진짜 잘도 빨리 끝났어,올해 정말 빠르게 지나갔네요.,0.0,0.981,0.758,0.773,0.0,0.0,이번 해도 정말 빨리 지나갔네,0.046,0.981,0.827,0.843,0.0,0.222
팔 팔 사람이주게,팔 팔 사람이거든,여덟 명이 찾아와주세요.,0.0,0.925,0.203,0.219,0.0,0.0,발 발 사람이라며,0.0,0.925,0.143,0.155,0.0,0.0
